Forced forging disabled for nethash 704f232786a9bff25d0630c06abbc34957448ba6309d6dcef949cf9a6f43954a
[inf] 2017-12-21 01:00:32 | Looking for common block with: 146.185.158.174:18124
[inf] 2017-12-21 01:00:32 | Found common block: 4338355167499305811 with: 146.185.158.174:18124
[inf] 2017-12-21 01:00:32 | Loading blocks from: 146.185.158.174:18124
[inf] 2017-12-21 01:00:32 | Block 7511984307783156730 loaded from: 146.185.158.174:18124 - height: 101
[inf] 2017-12-21 01:00:32 | Block 797076940446977113 loaded from: 146.185.158.174:18124 - height: 102
[inf] 2017-12-21 01:00:32 | Block 6127399835598480437 loaded from: 146.185.158.174:18124 - height: 103
[inf] 2017-12-21 01:00:32 | Block 7168456143332055135 loaded from: 146.185.158.174:18124 - height: 104
[inf] 2017-12-21 01:00:32 | Block 6102077236826714050 loaded from: 146.185.158.174:18124 - height: 105
[inf] 2017-12-21 01:00:32 | Block 1615406222712420104 loaded from: 146.185.158.174:18124 - height: 106
[inf] 2017-12-21 01:00:32 | Block 4229900996564644264 loaded from: 146.185.158.174:18124 - height: 107
[inf] 2017-12-21 01:00:32 | Block 2417397043774115511 loaded from: 146.185.158.174:18124 - height: 108
[inf] 2017-12-21 01:00:32 | Block 16689078872622970749 loaded from: 146.185.158.174:18124 - height: 109
[inf] 2017-12-21 01:00:32 | Block 15941238688620322378 loaded from: 146.185.158.174:18124 - height: 110
[inf] 2017-12-21 01:00:32 | Block 6677191810209394008 loaded from: 146.185.158.174:18124 - height: 111
[inf] 2017-12-21 01:00:32 | Block 119638890390653166 loaded from: 146.185.158.174:18124 - height: 112
[inf] 2017-12-21 01:00:32 | Block 7411291135056841600 loaded from: 146.185.158.174:18124 - height: 113
[inf] 2017-12-21 01:00:32 | Block 13269779037785838463 loaded from: 146.185.158.174:18124 - height: 114
[inf] 2017-12-21 01:00:32 | Block 10697412999576743565 loaded from: 146.185.158.174:18124 - height: 115
[inf] 2017-12-21 01:00:32 | Block 9520733050960497684 loaded from: 146.185.158.174:18124 - height: 116
[inf] 2017-12-21 01:00:32 | Block 12303427614857994260 loaded from: 146.185.158.174:18124 - height: 117
[inf] 2017-12-21 01:00:32 | Block 3100053203627549205 loaded from: 146.185.158.174:18124 - height: 118
[inf] 2017-12-21 01:00:32 | Block 4948565889251374220 loaded from: 146.185.158.174:18124 - height: 119
